Feature,Importance
MSTV,0.2983652145038089
Mean,0.2616941125715386
ASTV,0.1465616345608021
ALTV,0.11925814001529764
Max,0.029048025424721912
UC.1,0.02838592849357689
LB,0.024387645196901016
DP.1,0.021900767680144435
AC,0.017669122036700385
UC,0.0134790873687612
Variance,0.012894027078634436
Min,0.009781846952209152
Tendency,0.006455784986309487
DL.1,0.003912596961399691
DP,0.0035305074143880018
MLTV,0.0019190214517230966
Nmax,0.0007565373030831396
Median,0.0
Mode,0.0
Nzeros,0.0
FM.1,0.0
DL,0.0
AC.1,0.0
DS,0.0
FM,0.0
DR,0.0
DS.1,0.0
Width,0.0
